cell_id,x,y,z,phi0
0,0.0719086,0.644551,0.258341,0.0360542
1,0.434141,0.0692398,0.801691,0.0435177
2,0.183775,0.127836,0.870941,0.0283412
3,0.218428,0.975643,0.973629,0.00954045
4,0.0932164,0.122509,0.343573,0.0437555
5,0.945529,0.218395,0.588613,0.0372926
6,0.764413,0.878937,0.897576,0.0179378
7,0.0306273,0.75609,0.162398,0.0306486
8,0.133099,0.0439394,0.382566,0.0210475
9,0.364891,0.639224,0.338246,0.0126381
10,0.604314,0.62249,0.0856207,0.0152309
11,0.135832,0.932206,0.343573,0.00328344
12,0.759086,0.106529,0.29563,0.094524
13,0.343583,0.213068,0.316938,0.121767
14,0.114524,0.239702,0.460766,0.0191071
15,0.336601,0.807654,0.963134,0.00771938
16,0.780866,0.0146465,0.440747,0.0272595
17,0.0719086,0.431473,0.0665711,0.012422
18,0.637163,0.762956,0.963134,0.0069755
19,0.380872,0.836321,0.844306,0.00484604
20,0.530027,0.601935,0.833652,0.0116817
21,0.376327,0.303611,0.578236,0.11909
22,0.119851,0.181106,0.934865,0.0209806
23,0.0306273,0.510124,0.0607177,0.012208
24,0.458106,0.496282,0.351535,0.0253467
25,0.749895,0.515929,0.762588,0.0563615
26,0.731741,0.0808223,0.788371,0.0377385
27,0.967137,0.803825,0.38415,0.00389678
28,0.673854,0.404838,0.636555,0.0707684
29,0.71647,0.0958746,0.455439,0.19066
30,0.192149,0.316764,0.506173,0.0351968
31,0.261272,0.241405,0.963134,0.0372913
32,0.0719086,0.0692398,0.748421,0.0128081
33,0.978091,0.868074,0.717956,0.0092471
34,0.0985433,0.4368,0.466093,0.00888188
35,0.276872,0.162285,0.975423,0.0281622
36,0.0306273,0.719857,0.728792,0.0169718
37,0.860298,0.335588,0.0878789,0.021658
38,0.956483,0.114003,0.327334,0.0224261
39,0.125178,0.665859,0.311611,0.0161935
40,0.0818351,0.965136,0.880663,0.0192912
41,0.849644,0.878937,0.130495,0.0250412
42,0.203832,0.221845,0.497707,0.0465334
43,0.776085,0.574423,0.845408,0.0466428
44,0.860298,0.45278,0.897576,0.0156627
45,0.975023,0.51301,0.0247071,0.00832513
46,0.967137,0.671175,0.239415,0.023544
47,0.452506,0.519759,0.33186,0.0214613
48,0.531788,0.407412,0.687147,0.0680972
49,0.38478,0.029293,0.266851,0.0542441
50,0.509509,0.0439394,0.844439,0.0185421
51,0.978091,0.372925,0.77557,0.0234362
52,0.41597,0.490421,0.278559,0.0333511
53,0.821666,0.265739,0.409449,0.0496794
54,0.44007,0.465415,0.280086,0.0387726
55,0.0656969,0.0146465,0.87781,0.003271
56,0.290316,0.781233,0.156461,0.0206774
57,0.632948,0.0439394,0.669173,0.123627
58,0.0932164,0.601935,0.503381,0.00510495
59,0.423487,0.101202,0.141148,0.0316699
60,0.90824,0.745763,0.082552,0.0295701
61,0.167937,0.120049,0.963134,0.0111104
62,0.801701,0.916225,0.498054,0.00190749
63,0.90824,0.468761,0.860287,0.0214217
64,0.522025,0.897237,0.228706,0.0023048
65,0.666767,0.720392,0.536246,0.00517589
66,0.913223,0.917177,0.987711,0.0242866
67,0.519373,0.111855,0.545997,0.601853
68,0.966061,0.877024,0.987711,0.0244628
69,0.0825625,0.324934,0.844306,0.0267289
70,0.0825625,0.250356,0.85496,0.0245829
71,0.284987,0.857629,0.205072,0.00728213
72,0.210409,0.431473,0.90823,0.0278968
73,0.547726,0.823684,0.975423,0.00258786
74,0.210476,0.976757,0.693164,0.00372018
75,0.0153137,0.791351,0.30574,0.00910316
76,0.0260042,0.0508084,0.976946,0.00194156
77,0.442837,0.976757,0.943178,0.00154196
78,0.747027,0.119586,0.0279586,0.011916
79,0.250619,0.3308,0.0419379,0.028078
80,0.914386,0.778773,0.0139793,0.0251293
81,0.0306273,0.831951,0.462934,0.00215812
82,0.045941,0.6032,0.550204,0.00532227
83,0.807028,0.0798937,0.17311,0.0155414
84,0.130505,0.266337,0.370207,0.0443537
85,0.612761,0.17804,0.64303,0.178415
86,0.355936,0.0146465,0.7032,0.0450951
87,0.673854,0.553993,0.359554,0.0238281
88,0.431669,0.416584,0.304737,0.0547
89,0.967137,0.298585,0.38415,0.0206191
90,0.250618,0.120049,0.0419379,0.0187783
91,0.41597,0.511729,0.257251,0.0304152
92,0.316948,0.442127,0.0878789,0.0153079
93,0.0825625,0.239702,0.322265,0.0567538
94,0.146486,0.601935,0.929538,0.0273742
95,0.0847302,0.612417,0.0279586,0.016111
96,0.210409,0.0798937,0.60992,0.0850118
97,0.167794,0.94286,0.215726,0.0107768
98,0.466103,0.836321,0.109187,0.00220665
99,0.0719086,0.846975,0.514035,0.00210588
100,0.130505,0.479415,0.10386,0.0195689
101,0.0126378,0.0891993,0.987867,0.0022816
102,0.849644,0.708474,0.812345,0.03621
103,0.360338,0.898989,0.892143,0.00423946
104,0.363606,0.719472,0.975423,0.00617425
105,0.0153137,0.616383,0.269619,0.018485
106,0.295641,0.921552,0.322265,0.00288792
107,0.752126,0.0665642,0.0525918,0.00687858
108,0.918894,0.245029,0.434131,0.024802
109,0.978091,0.275538,0.671358,0.0367095
110,0.593204,0.029293,0.736531,0.0477443
111,0.0875519,0.726194,0.572931,0.00706768
112,0.523036,0.976757,0.545057,0.00170937
113,0.865625,0.362222,0.647209,0.0372889
114,0.300968,0.692493,0.338246,0.0134788
115,0.598446,0.313277,0.0279586,0.0237773
116,0.0306273,0.893856,0.774537,0.0119393
117,0.0306273,0.938773,0.333157,0.00330933
118,0.0306273,0.701851,0.241785,0.0237052
119,0.0633864,0.976757,0.50879,0.0013359
120,0.75324,0.685715,0.618527,0.0158273
121,0.10387,0.846975,0.482074,0.0020674
122,0.574769,0.988379,0.385975,0.00154861
123,0.967137,0.355907,0.405458,0.0145887
124,0.945829,0.124657,0.295372,0.0327524
125,0.119851,0.777725,0.711132,0.0162622
126,0.045941,0.219965,0.294754,0.056216
127,0.0825625,0.633897,0.247687,0.0390673
128,0.179701,0.427549,0.987711,0.0174268
129,0.128555,0.870949,0.0279586,0.0306714
130,0.34891,0.878937,0.791037,0.00694772
131,0.114813,0.963676,0.987711,0.0189643
132,0.078551,0.965136,0.5832,0.00195827
133,0.338256,0.218395,0.897576,0.0468437
134,0.107434,0.988379,0.736403,0.006294
135,0.0306273,0.824697,0.752148,0.015772
136,0.775066,0.0798937,0.833652,0.0211863
137,0.130505,0.799032,0.934865,0.0293232
138,0.989046,0.35393,0.828393,0.0269963
139,0.929548,0.0852207,0.775056,0.008785
140,0.0719086,0.0905476,0.844306,0.00862071
141,0.461378,0.465415,0.258778,0.0343069
142,0.26524,0.136317,0.31654,0.148454
143,0.289171,0.525241,0.987711,0.0130887
144,0.183047,0.243085,0.975423,0.0315379
145,0.242371,0.292972,0.85496,0.0498058
146,0.945529,0.719128,0.844306,0.0335576
147,0.0719086,0.388857,0.599266,0.0141695
148,0.251522,0.313276,0.975423,0.0326014
149,0.967137,0.835943,0.206812,0.0180709
150,0.902913,0.687166,0.567305,0.00577024
151,0.269387,0.33104,0.773883,0.0640635
152,0.129498,0.192548,0.608082,0.0602686
153,0.652546,0.553993,0.338246,0.0401917
154,0.918577,0.029293,0.371591,0.00927444
155,0.0792571,0.029293,0.866841,0.00375715
156,0.673854,0.5753,0.29563,0.0402824
157,0.168009,0.420225,0.963134,0.0173933
158,0.162467,0.276991,0.849633,0.0408409
159,0.651638,0.601828,0.297191,0.0257501
160,0.0306273,0.174153,0.926809,0.00722673
161,0.90824,0.351568,0.721786,0.0300916
162,0.876279,0.0852207,0.838979,0.00697249
163,0.967137,0.251917,0.673642,0.0389587
164,0.141159,0.213068,0.934865,0.0270501
165,0.967137,0.517217,0.805652,0.0208527
166,0.64722,0.580627,0.343573,0.0293609
167,0.0306273,0.903261,0.40602,0.00197692
168,0.913567,0.378203,0.162456,0.0283514
169,0.63277,0.605357,0.241443,0.0343717
170,0.0153137,0.73658,0.269615,0.0149385
171,0.833663,0.617916,0.263668,0.0391723
172,0.844317,0.724455,0.178437,0.0363259
173,0.15714,0.687166,0.130495,0.0477271
174,0.844317,0.639224,0.263668,0.0364795
175,0.823009,0.671186,0.3489,0.0176692
176,0.386569,0.3308,0.0419379,0.0156026
177,0.865625,0.607262,0.10386,0.0333478
178,0.849644,0.612589,0.237034,0.0406786
179,0.0153137,0.824064,0.452323,0.00215075
180,0.967137,0.671175,0.550204,0.00366955
181,0.833663,0.617916,0.221053,0.041329
182,0.0153137,0.876803,0.523094,0.00178968
183,0.12109,0.73666,0.634435,0.0108489
184,0.83899,0.601935,0.247687,0.0411579
185,0.823009,0.607262,0.231707,0.0427651
186,0.34891,0.94286,0.684498,0.00261626
187,0.215736,0.106529,0.73244,0.0457012
188,0.155535,0.823469,0.768736,0.0226596
189,0.0712598,0.688566,0.680502,0.0158225
190,0.945529,0.197087,0.929538,0.0110788
191,0.045941,0.3379,0.550204,0.00843346
192,0.0719086,0.463434,0.503381,0.00728065
193,0.412834,0.665859,0.279649,0.0114244
194,0.0719086,0.26101,0.812345,0.0379543
195,0.134602,0.270872,0.987711,0.0281981
196,0.307991,0.0146465,0.846956,0.0101
197,0.434141,0.612589,0.311611,0.0123302
198,0.989046,0.616383,0.68181,0.00995713
199,0.0825625,0.878937,0.407496,0.00250965
200,0.56208,0.681317,0.352571,0.0083162
201,0.045941,0.201949,0.939744,0.010599
202,0.130505,0.0852207,0.913557,0.00572962
203,0.090173,0.0114333,0.986499,0.00225989
204,0.945529,0.0798937,0.503381,0.0114776
205,0.897586,0.894918,0.934865,0.0270593
206,0.721797,0.878937,0.514035,0.00210185
207,0.989046,0.648726,0.0588788,0.0178754
208,0.604604,0.804359,0.876268,0.00595092
209,0.693742,0.263887,0.807681,0.0514864
210,0.0114441,0.985741,0.383115,0.00162675
211,0.989046,0.496186,0.269615,0.0145663
212,0.295641,0.516704,0.876268,0.030836
213,0.929548,0.0958746,0.54067,0.0123345
214,0.876279,0.756417,0.466093,0.00364324
215,0.649762,0.767464,0.0139793,0.00922765
216,0.157656,0.652469,0.963134,0.0237644
217,0.945529,0.474088,0.929538,0.0110748
218,0.978091,0.546392,0.869129,0.0178913
219,0.689835,0.388857,0.162456,0.0492701
220,0.0153137,0.539601,0.124638,0.0187323
221,0.978091,0.773873,0.752186,0.0158711
222,0.689835,0.0905476,0.727113,0.0844764
223,0.978091,0.579104,0.845739,0.0209976
224,0.933094,0.965136,0.669174,0.00542313
225,0.989046,0.649095,0.658421,0.00980023
226,0.114524,0.75109,0.279649,0.0203265
227,0.870952,0.431473,0.130495,0.0225072
228,0.990319,0.735994,0.0119709,0.0171251
229,0.372092,0.772116,0.133855,0.00833173
230,0.395793,0.175446,0.172414,0.0657861
231,0.764413,0.900244,0.897576,0.0165244
232,0.732006,0.0146465,0.528231,0.0585462
233,0.978091,0.795903,0.718167,0.0106322
234,0.261272,0.130703,0.963134,0.0180816
235,0.173121,0.553993,0.114514,0.0425042
236,0.679439,0.298172,0.314713,0.10369
237,0.0985433,0.202414,0.412823,0.0515389
238,0.940202,0.38353,0.796364,0.0240112
239,0.967137,0.0644007,0.439888,0.00719185
240,0.854971,0.276991,0.157129,0.0371732
241,0.514046,0.809686,0.700479,0.00336695
242,0.989046,0.26644,0.877267,0.0217662
243,0.322275,0.596608,0.870941,0.027094
244,0.769959,0.319143,0.987711,0.0327703
245,0.639983,0.029293,0.302864,0.0723676
246,0.210399,0.976757,0.223484,0.0051713
247,0.969768,0.17391,0.242129,0.0335863
248,0.978091,0.658485,0.462934,0.00340979
249,0.926149,0.352381,0.987711,0.0164529
250,0.945529,0.740436,0.631228,0.00732071
251,0.634459,0.453614,0.0279586,0.00949904
252,0.902913,0.932206,0.332919,0.00316791
253,0.881606,0.463434,0.077225,0.0135122
254,0.989046,0.178032,0.125721,0.00981662
255,0.539875,0.682974,0.334388,0.00560022
256,0.848442,0.375497,0.963134,0.0151887
257,0.109197,0.62857,0.476747,0.00475653
258,0.674623,0.553698,0.653397,0.0293415
259,0.976476,0.978527,0.138318,0.0168968
260,0.978091,0.792259,0.11945,0.0267771
261,0.989046,0.921931,0.403269,0.00181832
262,0.34891,0.0798937,0.844306,0.0282647
263,0.34891,0.26101,0.0665711,0.0379337
264,0.482084,0.884264,0.870941,0.00259038
265,0.720806,0.976757,0.126071,0.0083354
266,0.967137,0.123653,0.539711,0.0110226
267,0.59395,0.708474,0.0878789,0.0136572
268,0.945529,0.0905476,0.407496,0.0187965
269,0.0932164,0.932206,0.354227,0.00365357
270,0.83899,0.292972,0.918884,0.027733
271,0.870952,0.45278,0.332919,0.0281289
272,0.978091,0.82468,0.845715,0.0235732
273,0.967137,0.73915,0.939744,0.0234137
274,0.671204,0.0146465,0.87612,0.00776826
275,0.321884,0.368004,0.0139793,0.0154798
276,0.854971,0.426146,0.284976,0.0404374
277,0.967137,0.067329,0.0853045,0.00268629
278,0.989046,0.146158,0.172616,0.0109829
279,0.535354,0.553993,0.114514,0.0142601
280,0.428814,0.149144,0.924211,0.0277657
281,0.0153137,0.0413648,0.230799,0.00543767
282,0.14689,0.220074,0.963134,0.0250643
283,0.967137,0.545878,0.339452,0.0136529
284,0.466103,0.75109,0.300957,0.00400467
285,0.967137,0.241264,0.38415,0.0283595
286,0.604604,0.559319,0.940191,0.00995387
287,0.0153137,0.856772,0.212022,0.0173359
288,0.989046,0.474127,0.354601,0.0111609
289,0.732451,0.335588,0.22638,0.0721524
290,0.801014,0.0418523,0.962356,0.00446474
291,0.945529,0.165125,0.588613,0.03263
292,0.427676,0.491862,0.423638,0.0199343
293,0.130505,0.202414,0.860287,0.0326633
294,0.708459,0.0146465,0.856189,0.00866502
295,0.403672,0.506639,0.435692,0.0182517
296,0.135517,0.256139,0.240959,0.0372353
297,0.881606,0.516704,0.897576,0.0202723
298,0.375545,0.649878,0.412823,0.0076039
299,0.42376,0.509209,0.400536,0.0179347
300,0.924221,0.75109,0.375534,0.00582693
301,0.989046,0.769282,0.73068,0.0114263
302,0.861835,0.949155,0.807188,0.0133123
