cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
0,0.08621850789966858,0.0853109413729421,0.5016906633973126,0.00020639612122703524,1.0,0.5,0.0
1,0.9730648547410965,0.7911932946579252,0.6197363271148808,0.00013324906288776425,1.0,0.5,0.0
2,0.9730648547410965,0.840941728785272,0.5135371038428949,0.0002297465198554961,1.0,0.5,0.0
3,0.946129709482193,0.753419513545669,0.8529979058973098,0.00024014916159758765,1.0,0.5,0.0
4,0.9730648547410965,0.8324510821679825,0.617135201627793,0.0001767062248437957,1.0,0.5,0.0
5,0.6861438559193914,0.09188202023506162,0.8489648973727788,0.0001483256600150332,1.0,0.5,0.0
6,0.23171716183423996,0.8682827651500702,0.8229984939098358,0.00020638355255958257,1.0,0.5,0.0
7,0.9796652553453089,0.9315527329128402,0.979665255345309,0.00012251906375451414,1.0,0.5,0.0
8,0.25578718461672034,0.030627340078353875,0.5387349150740182,0.0002463286162513356,1.0,0.5,0.0
9,0.3952183061860487,0.7347887254390263,0.02996015548706055,0.0001982146575462781,1.0,0.5,0.0
10,0.1677937209606171,0.1438171789050102,0.48207350820302963,0.00010319188452730391,1.0,0.5,0.0
11,0.6898351907730103,0.28231797367334366,0.8123445808887482,0.0001031918845272912,1.0,0.5,0.0
12,0.6221602704232316,0.3608486609103246,0.6458709853225427,0.0004508927691735693,1.0,0.5,0.0
13,0.9796652553453089,0.06844726708715994,0.9796652553453089,0.00012251906375451536,1.0,0.5,0.0
14,0.07905213747204475,0.05374453015693631,0.6688550810738301,0.0002644001842946945,1.0,0.5,0.0
15,0.09388357400894168,0.4855197732650174,0.5815108726474457,0.00015155640852801796,1.0,0.5,0.0
16,0.7544412538667135,0.053744530156936275,0.9491267868722656,0.00026081996917874537,1.0,0.5,0.0
17,0.18910153955221176,0.6978202760219574,0.8229984641075134,0.00020638366080700678,1.0,0.5,0.0
18,0.7004891037940979,0.8469749689102173,0.22637968510389334,0.00010319184844474924,1.0,0.5,0.0
19,0.979665255345309,0.979665255345309,0.9315527329128402,0.00012251906375451382,1.0,0.5,0.0
20,0.05464766814972384,0.9470496098890164,0.18951045142439626,0.00019021113056067439,1.0,0.5,0.0
21,0.3922996537457475,0.06125468015670775,0.6282717980373275,0.00040210651165733125,1.0,0.5,0.0
22,0.21040935069322586,0.16512499749660492,0.6099203526973724,0.00020638358864206164,1.0,0.5,0.0
23,0.09388357400894168,0.7065327332969398,0.30773661738216057,0.0003031131350194768,1.0,0.5,0.0
24,0.9191945642232895,0.40125518161261214,0.414014940956858,0.00013044457644607684,1.0,0.5,0.0
25,0.860297679901123,0.41016484051942825,0.386188305914402,0.00010319192060980788,1.0,0.5,0.0
26,0.43994619576960053,0.7545218108849192,0.9151914566755295,0.00013690681086776365,1.0,0.5,0.0
