face_id,left_cell,right_cell,nx,ny,nz,area,fx,fy,fz,bc_type,bc_value,source_fraction
0,0,14151,0.0,1.0,-0.0,0.000908046266264617,0.07545986274878184,0.655204713344574,0.2547901024421056,internal,0.0,1.0
1,0,3493,0.0,0.0,1.0,0.0009080465837758571,0.07545986274878184,0.6409994959831238,0.2689953148365021,internal,0.0,1.0
2,0,127,0.5773503364825019,-0.5773501346038494,-0.5773503364825026,0.0015727826354239543,0.07545986274878184,0.6409994959831238,0.2547901024421056,internal,0.0,1.0
3,0,7146,-1.0,-0.0,-0.0,0.0009080465837758561,0.06125465035438538,0.6409994959831238,0.2547901024421056,internal,0.0,1.0
4,1,20382,1.0,-0.0,-0.0,0.0009080464250201809,0.4447952806949615,0.07279112935066222,0.794588029384613,internal,0.0,1.0
5,1,22594,0.0,-1.0,0.0,0.000908045631241805,0.4305900832017262,0.05858591943979263,0.8087932467460632,internal,0.0,1.0
6,1,13027,-0.707107275686352,0.0,-0.7071062866863972,0.0012841706714710123,0.4305900832017262,0.07279112935066222,0.794588029384613,internal,0.0,1.0
7,1,20979,0.0,0.7071069666239339,0.7071065957491126,0.00128417011018467,0.4305900832017262,0.07279112935066222,0.8087932467460632,internal,0.0,1.0
8,2,30211,0.7071070284364065,-0.0,-0.707106533936602,0.0012841713450137513,0.19620413581530258,0.13671457767486572,0.8727167248725891,internal,0.0,1.0
9,2,5259,-0.36514856744507507,0.182574219882853,0.912870844055706,0.0024867866527025157,0.18199892838795984,0.13671457767486572,0.8727167248725891,internal,0.0,1.0
10,2,34211,-0.0,-0.7071070284364065,0.707106533936602,0.0006420854479925248,0.18199892838795984,0.10830415288607276,0.8727167248725891,internal,0.0,1.0
11,2,14187,0.0,-0.0,-1.0,0.001816091897506756,0.17489632467428848,0.12961197396119437,0.865614116191864,internal,0.0,1.0
12,3,23488,0.8013383556371662,-0.46265291533909025,0.3792217289567717,0.0015624290215374235,0.2242978749906311,0.9675237895685335,0.9836151202519735,internal,0.0,1.0
13,3,14640,-0.7651951631408409,0.44178563342196436,0.4682967183397889,0.0018750865912674582,0.21399888786448576,0.9830191097297171,0.9812232434712662,internal,0.0,1.0
