cell_id,cx,cy,cz,volume,sigma_t,sigma_s,q
0,0.07190855965018274,0.6445508003234863,0.2583414055407047,1.2898994586542164e-05,1.0,0.5,0.0
1,0.43414138257503504,0.06923982687294483,0.8016906380653381,1.2898978800437922e-05,1.0,0.5,0.0
2,0.18377457931637767,0.12783632054924965,0.8709410727024078,1.2898990076225998e-05,1.0,0.5,0.0
3,0.21842845449427917,0.9756428421764001,0.9736287727924298,2.551287240551744e-05,1.0,0.5,0.0
4,0.09321637824177745,0.1225093603134155,0.3435726612806321,1.2898972034973927e-05,1.0,0.5,0.0
5,0.9455288499593735,0.21839454025030136,0.5886125564575195,1.289890438040009e-05,1.0,0.5,0.0
6,0.764412522315979,0.8789366483688354,0.8975758403539658,2.579795309056442e-05,1.0,0.5,0.0
7,0.03062732517719269,0.7560900593122808,0.16239827082128358,3.343525326455955e-05,1.0,0.5,0.0
8,0.13309889780500558,0.043939439579844475,0.38256598088671173,1.7732908467658948e-05,1.0,0.5,0.0
9,0.3648910000920295,0.6392238140106201,0.33824571222066885,5.159587911929166e-05,1.0,0.5,0.0
10,0.6043143869080141,0.6224902521199167,0.08562074065567585,1.3249500077614424e-05,1.0,0.5,0.0
11,0.13583200424909594,0.9322062134742737,0.3435726612806321,1.2898976545282209e-05,1.0,0.5,0.0
12,0.7590855658054352,0.10652850195765493,0.29563008248806,1.2898949483419882e-05,1.0,0.5,0.0
13,0.3435831889510155,0.21306758746504784,0.31693790107965475,5.1595897160531185e-05,1.0,0.5,0.0
14,0.11452419310808185,0.23970234766602516,0.4607656896114349,1.2898981055596804e-05,1.0,0.5,0.0
15,0.3366005249759727,0.8076538180225782,0.9631340205669403,1.4878218473617856e-05,1.0,0.5,0.0
16,0.7808663920531164,0.014646479859948158,0.4407468188334909,2.926003145266952e-05,1.0,0.5,0.0
17,0.07190855965018274,0.43147265911102295,0.06657109409570694,2.5797962111199927e-05,1.0,0.5,0.0
18,0.6371629404671049,0.7629564112566027,0.9631340205669403,1.487823928315901e-05,1.0,0.5,0.0
19,0.38087186217308044,0.8363210558891296,0.8443062901496887,3.8696938656444174e-05,1.0,0.5,0.0
20,0.5300265550613403,0.6019351482391357,0.8336523771286011,1.2899003607176088e-05,1.0,0.5,0.0
21,0.37632736246273824,0.3036111160394549,0.5782360612454226,1.8383367466868383e-05,1.0,0.5,0.0
22,0.11985114589333537,0.1811058633029461,0.9348645061254501,1.9348473838552517e-05,1.0,0.5,0.0
23,0.03062732517719269,0.5101242645706867,0.06071768608278792,1.9670964544701227e-05,1.0,0.5,0.0
24,0.4581059493444528,0.49628245634458035,0.35153487883812173,5.2550130170868317e-05,1.0,0.5,0.0
25,0.7498950311022653,0.5159290824051962,0.7625877424386962,0.00010712864025544428,1.0,0.5,0.0
26,0.731740597784764,0.08082230313186944,0.7883711168278347,1.316332823611914e-05,1.0,0.5,0.0
27,0.9671370387077332,0.803824928753516,0.384149733160046,1.3262715630473042e-05,1.0,0.5,0.0
28,0.6738543212413788,0.40483788400888443,0.6365551054477692,5.159596932552686e-05,1.0,0.5,0.0
